numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20251001000000;102770;-10;8;150;1.100000;282.850000;282.250000;96;7620;0;mq;mq;mq;mq;mq;mq;mq;mq;101890;mq;mq;230;mq;mq;mq;mq;mq;mq;mq;1.400000;2.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20251001000000;102740;-10;8;0;0.000000;283.250000;282.050000;92;5000;10;mq;mq;mq;1;4020;mq;mq;mq;102160;mq;mq;240;mq;mq;mq;mq;279.350000;mq;mq;0.500000;1.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;4020;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20251001000000;102690;-30;8;130;3.500000;284.950000;282.850000;87;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102580;mq;mq;150;mq;mq;mq;mq;mq;mq;mq;4.100000;4.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20251001000000;102740;-20;8;170;1.700000;283.050000;282.250000;95;19710;0;mq;mq;mq;0;mq;mq;mq;mq;101920;mq;mq;190;mq;mq;mq;mq;286.150000;mq;mq;1.800000;1.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20251001000000;102780;0;0;30;2.600000;282.050000;281.550000;97;6300;0;mq;mq;mq;0;mq;mq;mq;mq;100860;mq;mq;230;mq;mq;mq;mq;283.850000;mq;mq;3.000000;3.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20251001000000;102690;10;3;270;1.000000;281.650000;280.850000;95;10600;0;mq;mq;mq;0;mq;mq;mq;mq;101520;mq;mq;300;mq;mq;mq;mq;282.850000;mq;mq;1.900000;3.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20251001000000;102690;-60;8;100;1.900000;281.550000;281.550000;100;7790;0;mq;mq;75;6;7200;mq;mq;mq;101480;mq;mq;60;mq;mq;mq;mq;280.550000;mq;mq;2.100000;3.000000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;7200;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20251001000000;102700;-30;6;100;0.700000;286.350000;283.550000;83;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102000;mq;mq;120;mq;mq;mq;mq;mq;mq;mq;1.700000;4.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20251001000000;102700;-20;8;260;0.600000;282.250000;281.750000;97;880;44;mq;mq;mq;0;mq;mq;mq;mq;102240;mq;mq;180;mq;mq;mq;mq;283.150000;mq;mq;1.300000;2.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20251001000000;102770;0;4;60;0.800000;281.950000;279.750000;86;20000;0;mq;mq;100;8;3900;mq;mq;mq;100990;mq;mq;230;mq;mq;mq;mq;286.950000;mq;mq;1.400000;2.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;3900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
