numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07015;20250701000000;101510;-30;7;80;0.700000;297.250000;291.450000;70;24370;0;mq;mq;mq;0;mq;mq;mq;mq;100970;mq;mq;-740;mq;mq;mq;mq;293.850000;mq;mq;1.000000;1.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20250701000000;101380;-50;6;160;3.300000;295.250000;291.050000;77;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101280;mq;mq;-810;mq;mq;mq;mq;mq;mq;mq;4.200000;4.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20250701000000;101430;0;0;140;2.300000;294.050000;290.850000;82;60000;0;mq;mq;mq;0;mq;mq;mq;mq;100650;mq;mq;-740;mq;mq;mq;mq;295.350000;mq;mq;2.600000;4.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20250701000000;101490;-50;8;80;3.700000;296.550000;292.650000;79;23850;0;mq;mq;mq;0;mq;mq;mq;mq;99690;mq;mq;-670;mq;mq;mq;mq;295.250000;mq;mq;5.200000;5.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20250701000000;101530;10;2;340;1.800000;294.050000;291.650000;86;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100430;mq;mq;-530;mq;mq;mq;mq;294.150000;mq;mq;2.400000;2.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20250701000000;101610;20;3;330;1.700000;291.150000;290.850000;98;4030;10;mq;mq;100;8;250;mq;mq;mq;100460;mq;mq;-480;mq;mq;mq;mq;292.350000;mq;mq;2.600000;3.300000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;8;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20250701000000;101580;50;2;250;3.700000;290.250000;290.050000;99;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100890;mq;mq;-570;mq;mq;mq;mq;mq;mq;mq;6.100000;7.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20250701000000;101530;40;3;330;1.500000;294.250000;293.050000;93;60000;0;mq;mq;mq;0;mq;mq;mq;mq;101100;mq;mq;-520;mq;mq;mq;mq;290.750000;mq;mq;1.900000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20250701000000;101530;40;1;350;0.900000;294.550000;289.750000;74;20000;0;mq;mq;mq;0;mq;mq;mq;mq;99850;mq;mq;-550;mq;mq;mq;mq;295.750000;mq;mq;1.300000;2.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20250701000000;101550;30;2;350;0.600000;295.250000;289.950000;72;30340;0;mq;mq;mq;0;mq;mq;mq;mq;100510;mq;mq;-530;mq;mq;mq;mq;mq;mq;mq;1.300000;1.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20250701000000;101540;30;1;30;0.600000;297.050000;290.050000;65;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100180;mq;mq;-430;mq;mq;mq;mq;294.450000;mq;mq;1.500000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20250701000000;101570;50;1;190;1.300000;296.250000;290.750000;71;19840;0;mq;mq;mq;2;2940;mq;mq;mq;97600;mq;mq;-380;mq;mq;mq;mq;290.950000;mq;mq;2.000000;2.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;2940;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20250701000000;101520;40;1;320;2.100000;295.950000;291.050000;74;33880;0;mq;mq;mq;0;mq;mq;mq;mq;99780;mq;mq;-470;mq;mq;mq;mq;293.050000;mq;mq;2.800000;4.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.800000;0.800000;0.800000;mq;mq;mq;mq;mq;9;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20250701000000;mq;mq;mq;270;4.900000;292.350000;mq;mq;6000;2;2;mq;100;8;450;36;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8.400000;8.400000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;7;500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20250701000000;101580;60;3;280;0.600000;293.750000;291.850000;89;51670;0;mq;mq;mq;0;mq;mq;mq;mq;101280;mq;mq;-320;mq;mq;mq;mq;289.150000;mq;mq;1.400000;2.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20250701000000;101550;50;2;10;0.700000;295.750000;290.450000;72;57220;0;mq;mq;mq;0;mq;mq;mq;mq;100260;mq;mq;-400;mq;mq;mq;mq;293.650000;mq;mq;1.300000;5.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20250701000000;101570;10;0;130;2.400000;295.850000;288.650000;64;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;99660;mq;mq;-330;mq;mq;mq;mq;294.350000;mq;mq;2.700000;2.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20250701000000;101570;100;1;360;0.700000;296.850000;290.350000;67;40320;0;mq;mq;75;6;2820;mq;mq;mq;99060;mq;mq;-270;mq;mq;mq;mq;293.850000;mq;mq;1.200000;4.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;2820;5;mq;4260;6;mq;4800;mq;mq;mq;
07299;20250701000000;101560;40;0;230;1.800000;296.450000;291.950000;76;36940;0;mq;mq;mq;4;3120;mq;mq;mq;98450;mq;mq;-320;mq;mq;mq;mq;297.650000;mq;mq;2.800000;2.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;3120;3;mq;6780;mq;9;mq;mq;mq;mq;
07314;20250701000000;mq;20;2;290;3.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101370;mq;mq;-210;mq;mq;mq;mq;mq;mq;mq;4.900000;5.100000;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20250701000000;101590;50;1;290;1.700000;298.350000;288.950000;56;60000;0;mq;mq;mq;0;mq;mq;mq;mq;100220;mq;mq;-300;mq;mq;mq;mq;295.150000;mq;mq;2.100000;2.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20250701000000;101630;50;3;290;0.500000;298.750000;287.850000;51;55700;0;mq;mq;mq;0;mq;mq;mq;mq;97100;mq;mq;-160;mq;mq;mq;mq;292.650000;mq;mq;2.000000;4.000000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07460;20250701000000;101690;100;1;110;0.500000;296.050000;287.650000;59;49830;0;mq;mq;mq;0;mq;mq;mq;mq;97910;mq;mq;-180;mq;mq;mq;mq;293.350000;mq;mq;1.200000;2.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07471;20250701000000;mq;100;1;310;1.000000;292.950000;286.650000;67;17320;0;mq;mq;mq;0;mq;mq;mq;mq;92560;92500;839;-90;mq;mq;mq;mq;mq;mq;mq;3.500000;3.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20250701000000;101710;70;0;120;1.900000;296.750000;290.950000;70;40000;1;2;2;90;1;mq;30;28;13;98970;mq;mq;-70;mq;mq;mq;mq;mq;mq;mq;2.300000;4.300000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;4.000000;4.000000;4.000000;mq;mq;mq;mq;1;3;2000;7;0;7000;mq;mq;mq;mq;mq;mq;
07510;20250701000000;101690;60;1;270;3.400000;296.550000;295.150000;92;7470;0;mq;mq;90;7;150;mq;mq;mq;101140;mq;mq;-90;mq;mq;mq;mq;mq;mq;mq;4.800000;5.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;180;mq;mq;mq;mq;mq;mq;mq;mq;mq;
