numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20250201000000;103040;120;1;130;2.400000;275.750000;274.750000;93;18410;0;mq;mq;mq;mq;mq;mq;mq;mq;102130;mq;mq;310;mq;mq;mq;mq;276.050000;mq;mq;4.500000;6.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;3.800000;4.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20250201000000;103150;100;1;110;2.200000;273.550000;273.450000;99;3350;10;mq;mq;mq;0;mq;mq;mq;mq;102550;mq;mq;510;mq;mq;mq;mq;273.050000;mq;mq;3.000000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20250201000000;102760;30;1;40;5.600000;282.250000;279.850000;85;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102650;mq;mq;40;mq;mq;mq;mq;mq;mq;mq;8.900000;9.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20250201000000;102750;80;3;160;2.200000;278.650000;278.050000;96;6660;0;mq;mq;100;8;250;mq;mq;mq;101910;mq;mq;-80;mq;mq;mq;mq;278.550000;mq;mq;3.000000;5.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;2.000000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20250201000000;102940;90;1;140;4.700000;275.550000;275.250000;98;24690;0;mq;mq;100;8;150;mq;mq;mq;100970;mq;mq;110;mq;mq;mq;mq;276.950000;mq;mq;7.400000;8.000000;-10;mq;0.000000;mq;mq;0.000000;0.200000;0.200000;3.800000;4.600000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20250201000000;103160;90;2;360;1.200000;271.250000;270.850000;97;6760;0;mq;mq;mq;0;mq;mq;mq;mq;101940;mq;mq;410;mq;mq;mq;mq;274.250000;mq;mq;1.500000;1.500000;-10;4;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20250201000000;102850;90;1;90;1.100000;274.950000;274.550000;97;1120;10;mq;mq;mq;2;7380;mq;mq;mq;101610;mq;mq;-160;mq;mq;mq;mq;274.250000;mq;mq;1.600000;1.600000;-10;mq;0.000000;mq;mq;0.000000;0.200000;0.200000;1.000000;2.200000;mq;mq;mq;mq;2;mq;7380;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20250201000000;102810;70;1;70;2.400000;281.050000;279.550000;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102090;mq;mq;-110;mq;mq;mq;mq;mq;mq;mq;3.900000;7.800000;-10;mq;mq;mq;mq;0.000000;0.000000;-0.100000;-0.100000;5.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20250201000000;102760;70;2;150;1.500000;276.350000;276.350000;100;160;45;mq;mq;101;9;30;mq;mq;mq;102290;mq;mq;-230;mq;mq;mq;mq;273.550000;mq;mq;2.600000;2.800000;-10;2;0.000000;mq;mq;0.000000;0.000000;0.000000;2.400000;2.800000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20250201000000;102830;90;1;110;1.700000;276.850000;276.450000;97;15930;0;mq;mq;100;8;150;mq;mq;mq;101020;mq;mq;-120;mq;mq;mq;mq;278.050000;mq;mq;3.200000;5.100000;-10;2;0.000000;mq;mq;-0.100000;0.200000;0.600000;3.400000;3.600000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
