Nom,Latitude,Longitude,Altitude,Zone,janv.,févr.,mars,avr.,mai,juin,juill.,août,sept.,oct.,nov.,déc.
Poitiers,46.593833,0.314333,123,NO,4.997477269447273,5.554607578880631,8.356977450130119,11.015291116446601,14.595857988165703,18.456531524817432,20.02680922006381,19.914635838150314,16.7117904191617,13.016795596117653,8.168831811852105,5.471147737488786
Pte De Chassiron,46.046833,-1.4115,11,SO,7.770743029389624,7.926385716583584,9.993098091433666,12.15880811752236,15.067784574071336,18.096203348180026,19.575873039807018,19.874806130268222,18.372791269597318,15.554954470816563,11.527401459854037,8.631094799312844
Pte De La Hague,49.725167,-1.939833,6,NO,7.982406287787206,7.736701185902812,8.569961730939086,9.951498466257691,12.28696761960329,14.759264705882376,16.72659552238808,17.42787696373516,16.60923578468539,14.447732763700671,11.348405353111923,9.03519109820999
Reims,49.209667,4.155333,95,NE,3.981524926686239,4.7259797979798215,6.728943506969942,9.907102164831015,13.683571939871177,17.752767142359925,19.746353814989895,19.201212121212144,15.474156521739154,11.924290540540563,7.154580152671778,5.263548626577603
Rennes,48.068833,-1.734,36,NO,5.992488805431194,6.422765788638551,8.544962492787098,10.820362740707592,14.134435612082694,17.392456323727064,18.97917895345478,18.75036636376751,16.466999700419436,13.095991567316103,8.9861737781226,6.428485302939435
Rouen,49.383,1.181667,151,NO,4.083039429652286,4.734050955414036,7.128295005126725,9.759556724267492,13.036192547484436,16.345376360338598,18.01753688168935,17.90049312262221,15.199544497895394,11.655247280638166,7.341031894934356,4.649432858214577
St Girons,43.005333,1.106833,414,SO,4.859844476744208,5.915651690744586,8.764882472431829,11.11341521869385,14.528414881297069,18.34823529411767,19.996064882164703,20.076696859021208,17.017228481297906,13.494538653366606,8.022936594485145,5.556993248312101
Strasbourg,48.5495,7.640333,150,NE,2.3671329679838715,3.622799683293768,7.067553375649187,11.183677679772785,15.570838410211802,19.3695123410621,20.494150289017366,20.062267906436173,15.907927048934276,11.295902566333211,6.221324349442402,3.2888122375525124
Tarbes,43.188,0.0,360,SO,5.293094306823144,6.262505970386905,9.02752276340514,11.295083958021012,14.78900538025304,18.406977126625826,19.890694745983524,20.04264769923068,17.412991452991477,13.842926937269397,8.456896498295654,6.083269693325338
Toulouse,43.621,1.378833,151,SO,6.0761839445567665,7.0549817893903635,10.048632823766969,12.725837185030587,16.386322170900716,20.65594949947709,22.640742294892224,22.654445887445913,19.39388797364088,15.313141081237374,9.611335807050116,6.75004645586695
Tours,47.4445,0.727333,108,NO,4.883094584837568,5.5937194541415645,8.325965596993374,10.997664876156394,14.51952949745086,18.34867058115028,20.134714658169198,19.948107085697682,16.756929535232405,12.891155568395227,8.101008520526745,5.419558624831129
Troyes,48.324667,4.02,112,NE,3.659740542107575,4.4277078365919795,7.176625508425357,10.328623166716575,14.278194444444466,18.00886735766864,19.922704761904786,19.585555070566006,15.765534827741861,11.90018443218126,7.103663381823893,4.486115238817309
